Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Calories_Burned (kcal)_log,Effort_Score,Workout_Type_Hiit,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga,Experience_Level_1,Experience_Level_2,Experience_Level_3,Age_Group_Adult,Age_Group_Senior,Workout_Intensity_Moderate,Workout_Intensity_High,Age_Group,Workout_Intensity
56,Female,53.8,1.62,163.0,149.0,71.0,1.01,22.1,3.5,3,20.499923792104855,9.5,0.9141104294478528,8.684049079754601,437.7,6.083815808172169,150.49,True,False,False,False,True,False,False,False,True,True,False,Senior,Moderate
46,Male,54.9,1.75,170.0,126.0,73.0,0.25,19.9,3.4,3,17.926530612244896,3.0,0.7411764705882353,2.223529411764706,22.5,3.157000421150113,31.5,False,False,False,True,False,False,False,False,True,False,False,Senior,Low
32,Female,68.5,1.61,190.0,171.0,60.0,0.33,20.4,2.7,3,26.42644959685197,9.5,0.9,8.55,183.4,5.2171073111224935,56.43,True,False,False,False,True,False,False,True,False,False,True,Adult,High
25,Male,98.8,1.86,189.0,135.0,69.0,0.78,30.3,4.4,3,28.55821482252283,3.0,0.7142857142857143,2.142857142857143,127.2,4.853591544486569,105.3,False,False,False,True,False,False,False,False,False,True,False,Young,Moderate
38,Male,95.5,1.71,176.0,138.0,66.0,0.55,23.7,2.2,2,32.65962176396157,7.0,0.7840909090909091,5.488636363636363,240.7,5.487697287709437,75.9,False,False,False,False,False,False,False,True,False,True,False,Adult,Moderate
56,Female,47.4,1.62,163.0,124.0,77.0,0.75,28.7,3.7,5,18.061271147690896,3.0,0.7607361963190185,2.2822085889570554,58.3,4.08260930600368,93.0,False,False,False,True,True,False,False,False,True,False,False,Senior,Low
36,Female,71.1,1.62,183.0,136.0,78.0,0.41,25.5,3.3,2,27.091906721536343,3.0,0.7431693989071039,2.2295081967213117,48.3,3.8979240810486444,55.76,False,False,False,True,False,False,False,True,False,True,False,Adult,Moderate
40,Female,72.5,1.63,176.0,137.0,63.0,0.52,18.3,2.7,3,27.287440249915317,7.0,0.7784090909090909,5.448863636363637,172.8,5.157905212831292,71.24000000000001,False,False,False,False,True,False,False,True,False,True,False,Adult,Moderate
28,Male,71.6,1.82,191.0,164.0,83.0,0.78,26.5,4.2,2,21.615746890472163,8.0,0.8586387434554974,6.869109947643979,335.1,5.81740873473106,127.92,False,True,False,False,False,False,False,False,False,False,True,Young,High
28,Female,49.0,1.55,199.0,166.0,66.0,0.67,21.3,3.7,4,20.39542143600416,8.0,0.8341708542713567,6.673366834170854,197.5,5.290789100127245,111.22000000000001,False,True,False,False,True,False,False,False,False,False,True,Young,High
