Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Calories_Burned (kcal)_log
56,Female,53.8,1.62,163.0,149.0,71.0,1.01,Hiit,22.1,3.5,3,1,20.4,9.5,0.8478260869565217,8.054347826086957,437.7,6.083815808172169
46,Male,54.9,1.75,170.0,126.0,73.0,0.25,Yoga,19.9,3.4,3,0,18.0,3.0,0.5463917525773195,1.6391752577319587,22.5,3.157000421150113
32,Female,68.5,1.61,190.0,171.0,60.0,0.33,Hiit,20.4,2.7,3,1,26.5,9.5,0.8538461538461538,8.111538461538462,183.4,5.2171073111224935
25,Male,98.8,1.86,189.0,135.0,69.0,0.78,Yoga,30.3,4.4,3,0,28.5,3.0,0.55,1.65,127.2,4.853591544486569
38,Male,95.5,1.71,176.0,138.0,66.0,0.55,Cardio,23.7,2.2,2,0,32.5,7.0,0.6545454545454545,4.581818181818182,240.7,5.487697287709437
56,Female,47.4,1.62,163.0,124.0,77.0,0.75,Yoga,28.7,3.7,5,1,18.1,3.0,0.5465116279069767,1.63953488372093,58.3,4.08260930600368
36,Female,71.1,1.62,183.0,136.0,78.0,0.41,Yoga,25.5,3.3,2,0,27.1,3.0,0.5523809523809524,1.6571428571428573,48.3,3.8979240810486444
40,Female,72.5,1.63,176.0,137.0,63.0,0.52,Cardio,18.3,2.7,3,1,27.3,7.0,0.6548672566371682,4.5840707964601775,172.8,5.157905212831292
28,Male,71.6,1.82,191.0,164.0,83.0,0.78,Mixed,26.5,4.2,2,0,21.7,8.0,0.75,6.0,335.1,5.81740873473106
28,Female,49.0,1.55,199.0,166.0,66.0,0.67,Mixed,21.3,3.7,4,1,20.3,8.0,0.7518796992481203,6.015037593984962,197.5,5.290789100127245
41,Male,51.2,1.61,179.0,126.0,62.0,1.07,Yoga,14.5,3.8,7,3,19.7,3.0,0.5470085470085471,1.6410256410256412,89.9,4.509760001183433
53,Male,57.7,1.62,161.0,140.0,77.0,0.44,Mixed,28.7,3.5,3,0,21.9,8.0,0.75,6.0,152.3,5.0323967858777685
57,Male,69.9,1.68,163.0,135.0,70.0,0.43,Strength,27.6,2.8,4,1,24.8,6.0,0.6989247311827957,4.193548387096774,126.0,4.844187086458591
41,Female,80.4,1.65,168.0,142.0,63.0,1.0,Mixed,20.9,4.6,6,2,29.4,8.0,0.7523809523809524,6.019047619047619,483.9,6.183942684111306
20,Female,66.6,1.53,205.0,186.0,75.0,0.65,Hiit,37.7,3.0,3,0,28.4,9.5,0.8538461538461538,8.111538461538462,351.1,5.863915226161007
39,Female,48.4,1.64,175.0,143.0,69.0,0.97,Strength,27.0,3.6,4,1,18.0,6.0,0.6981132075471698,4.188679245283018,196.7,5.286750730176571
19,Male,58.1,1.67,202.0,171.0,76.0,0.48,Mixed,25.5,4.4,2,0,20.8,8.0,0.753968253968254,6.031746031746032,168.2,5.1310814471721224
41,Male,76.4,1.62,180.0,149.0,76.0,0.25,Strength,28.3,2.8,2,0,29.2,6.0,0.7019230769230769,4.211538461538462,80.4,4.399375273008495
47,Female,64.4,1.75,169.0,136.0,57.0,1.39,Strength,9.0,3.9,7,3,21.1,6.0,0.7053571428571429,4.232142857142858,378.8,5.939644798378185
55,Male,74.6,1.77,171.0,149.0,81.0,0.56,Mixed,24.7,4.3,3,0,23.8,8.0,0.7555555555555555,6.044444444444444,252.5,5.535363823031238
19,Male,50.3,1.67,205.0,184.0,66.0,0.44,Hiit,16.1,2.5,5,1,18.0,9.5,0.8489208633093526,8.06474820143885,178.5,5.190175207928333
38,Male,83.0,1.7,178.0,163.0,77.0,0.84,Hiit,29.1,3.8,3,0,28.6,9.5,0.8514851485148515,8.089108910891088,564.0,6.336825731146441
50,Female,38.6,1.46,174.0,143.0,73.0,0.25,Strength,29.8,2.5,3,0,18.0,6.0,0.693069306930693,4.158415841584159,40.1,3.716008121502189
29,Male,48.3,1.64,186.0,157.0,71.0,0.58,Mixed,21.2,3.9,3,0,18.0,8.0,0.7478260869565218,5.982608695652174,167.6,5.127529045567755
39,Male,89.4,1.78,188.0,171.0,74.0,0.27,Hiit,17.1,2.6,3,0,28.2,9.5,0.8508771929824561,8.083333333333334,195.1,5.2786247332023
42,Female,85.0,1.64,184.0,155.0,67.0,0.8,Mixed,25.8,3.9,5,1,31.7,8.0,0.7521367521367521,6.017094017094017,409.2,6.016644845638281
44,Female,58.9,1.61,181.0,153.0,68.0,0.87,Mixed,14.4,4.4,4,2,22.8,8.0,0.7522123893805309,6.017699115044247,308.4,5.734634938138965
59,Female,86.0,1.9,153.0,115.0,70.0,0.69,Yoga,24.2,4.0,5,1,23.8,3.0,0.5421686746987951,1.6265060240963851,96.5,4.579852378003801
45,Female,95.8,1.86,172.0,129.0,77.0,0.6,Yoga,31.4,3.5,5,1,27.6,3.0,0.5473684210526316,1.642105263157895,94.4,4.558078578454241
33,Female,75.0,1.73,184.0,129.0,60.0,1.0,Yoga,22.6,4.4,7,2,25.2,3.0,0.5564516129032258,1.6693548387096773,125.2,4.837867950107113
32,Female,72.4,1.79,185.0,153.0,55.0,1.645,Mixed,11.1,5.0,6,3,22.5,8.0,0.7538461538461538,6.030769230769231,719.45,6.579876016778943
20,Male,46.9,1.46,205.0,158.0,72.0,0.89,Cardio,20.6,3.5,3,1,22.1,7.0,0.6466165413533834,4.526315789473684,188.9,5.24649761781824
